year,month,neighbourhood,num_reviews,date
2016,05,Oud - Merksem,2,2016-05-01
2016,05,Petroleum - Zuid,2,2016-05-01
2016,05,Polder,1,2016-05-01
2016,05,Sint-Andries,24,2016-05-01
2016,05,Stadspark,16,2016-05-01
2016,05,Stuivenberg,7,2016-05-01
2016,05,Theaterbuurt-Meir,46,2016-05-01
2016,05,Universiteitsbuurt,70,2016-05-01
2016,05,Zuid,33,2016-05-01
2016,06,Amandus - Atheneum,35,2016-06-01
2016,06,Borgerhout Extra Muros,1,2016-06-01
2016,06,Borgerhout Intra Muros Noord,13,2016-06-01
2016,06,Borgerhout Intra Muros Zuid,38,2016-06-01
2016,06,Brederode,1,2016-06-01
2016,06,Centraal Station,11,2016-06-01
2016,06,Deurne Dorp - Gallifort,1,2016-06-01
2016,06,Deurne Noord,2,2016-06-01
2016,06,Deurne Zuid West,2,2016-06-01
2016,06,Eilandje,7,2016-06-01
2016,06,Groenenhoek,3,2016-06-01
2016,06,Haringrode,3,2016-06-01
2016,06,Harmonie,3,2016-06-01
2016,06,Historisch Centrum,45,2016-06-01
2016,06,Hoboken - Centrum,2,2016-06-01
2016,06,Kiel,1,2016-06-01
2016,06,Markgrave,1,2016-06-01
2016,06,Middelheim,1,2016-06-01
2016,06,Oud - Berchem,4,2016-06-01
2016,06,Petroleum - Zuid,1,2016-06-01
2016,06,Polder,1,2016-06-01
2016,06,Sint-Andries,14,2016-06-01
2016,06,Stadspark,10,2016-06-01
2016,06,Theaterbuurt-Meir,42,2016-06-01
2016,06,Universiteitsbuurt,39,2016-06-01
2016,06,Zuid,26,2016-06-01
2016,06,Zurenborg,1,2016-06-01
2016,07,Amandus - Atheneum,36,2016-07-01
2016,07,Borgerhout Extra Muros,5,2016-07-01
2016,07,Borgerhout Intra Muros Noord,22,2016-07-01
2016,07,Borgerhout Intra Muros Zuid,30,2016-07-01
2016,07,Brederode,8,2016-07-01
2016,07,Centraal Station,12,2016-07-01
